Unnamed: 0,Player,Position,Age,90 mins played,Non Penalty xG,Non-penalty goals,Non-Penalty(xG-Goals),Expected Assists,Assists,xAG-Assists,npxGi-npGi,Non Penalty xG + Assisted Goals,xG/90,Expected Assisted Goals/90,Expected Goals+Assisted Goals/90,Non Penalty xG/90,Non Penalty xG+xAG/90
214,Julien Duranville,MF,16.0,0.3,0.0,0,0.0,0.3,0,0.3,0.3,0.3,0.06,0.83,0.89,0.06,0.89
215,Tom Rothe,DF,17.0,0.3,0.1,0,0.1,0.0,0,0.0,0.1,0.1,0.26,0.0,0.26,0.26,0.26
216,Justin Njinmah,FW,21.0,0.2,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
217,Antonios Papadopoulos,DF,22.0,0.1,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1
218,Marco Pašalić,MF,21.0,0.1,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.4,0.0,0.4,0.4,0.4
219,Vinicius Júnior,FW,22.0,31.4,10.5,10,0.5,9.4,9,0.4,0.9,19.9,0.34,0.3,0.63,0.34,0.63
220,Thibaut Courtois,GK,30.0,31.0,0.0,0,0.0,0.4,0,0.4,0.4,0.4,0.0,0.01,0.01,0.0,0.01
221,Éder Militão,DF,24.0,30.0,2.4,5,-2.6,0.6,0,0.6,-2.0,2.9,0.08,0.02,0.1,0.08,0.1
222,Federico Valverde,"MF,FW",24.0,27.8,4.3,7,-2.7,6.3,4,2.3,-0.4,10.6,0.15,0.23,0.38,0.15,0.38
223,Antonio Rüdiger,DF,29.0,26.8,1.8,1,0.8,0.1,0,0.1,0.9,1.9,0.07,0.0,0.07,0.07,0.07
224,Rodrygo,"FW,MF",21.0,26.4,12.9,8,4.9,7.0,8,-1.0,3.9,19.9,0.52,0.26,0.78,0.49,0.75
225,Toni Kroos,MF,32.0,23.9,1.4,2,-0.6,4.4,4,0.4,-0.2,5.9,0.06,0.19,0.24,0.06,0.24
226,Aurélien Tchouaméni,MF,22.0,23.5,1.8,0,1.8,2.2,4,-1.8,0.0,4.0,0.08,0.09,0.17,0.08,0.17
227,Karim Benzema,FW,34.0,22.6,14.9,12,2.9,5.8,3,2.8,5.7,20.7,0.95,0.26,1.2,0.66,0.91
228,Eduardo Camavinga,"MF,DF",19.0,22.3,0.8,0,0.8,1.5,1,0.5,1.3,2.3,0.04,0.07,0.1,0.04,0.1
229,David Alaba,DF,30.0,20.4,0.8,1,-0.2,1.1,3,-1.9,-2.1,1.9,0.04,0.05,0.09,0.04,0.09
230,Dani Carvajal,DF,30.0,19.8,0.8,0,0.8,2.0,2,0.0,0.8,2.8,0.04,0.1,0.14,0.04,0.14
231,Luka Modrić,MF,36.0,19.4,3.4,3,0.4,4.5,3,1.5,1.9,8.0,0.22,0.23,0.45,0.18,0.41
232,Dani Ceballos,MF,25.0,17.4,0.9,0,0.9,2.1,4,-1.9,-1.0,3.0,0.05,0.12,0.17,0.05,0.17
233,Nacho,DF,32.0,18.2,0.8,1,-0.2,0.9,1,-0.1,-0.3,1.7,0.04,0.05,0.09,0.04,0.09
234,Ferland Mendy,DF,27.0,15.0,0.3,0,0.3,0.6,1,-0.4,-0.1,0.9,0.02,0.04,0.06,0.02,0.06
235,Marco Asensio,"FW,MF",26.0,16.0,5.5,9,-3.5,4.9,6,-1.1,-4.6,10.4,0.39,0.3,0.7,0.35,0.65
236,Lucas Vázquez,DF,31.0,12.7,1.9,4,-2.1,1.6,1,0.6,-1.5,3.5,0.15,0.13,0.28,0.15,0.28
237,Andriy Lunin,GK,23.0,7.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
